0,1,"Spanish: ñ = n-tilde"
1,1,"cueva marina (f)"
2,1,"arcilla (f)"
3,1,"sima (f)"
3,2,"pozo (m)"
5,1,"plano (m)"
6,1,"piso falso (m)"
7,1,"pseudokarst (m)"
8,1,"estalagmita (f)"
9,1,"andinista"
9,2,"excursionista"
9,3,"montañista"
10,1,"andinismo"
10,2,"excursionismo"
10,3,"montañismo"
11,1,"técnicas (f) alpinas (adj)"
12,1,"aragonito (m)"
13,1,"excavación (f) arqueológica"
14,1,"mineral (m)"
15,1,"valle seco (m)"
16,1,"cueva transfluente"
18,1,"barita"
18,2,"baritina (f)"
19,1,"caverna"
19,2,"cavidad (f)"
19,3,"cueva"
20,1,"topografía (f)"
21,1,"espeleólogo (m)"
21,2,"espeleóloga (f)"
22,1,"material espeleológico (m)"
23,1,"espeleología (f)"
23,2,"espeleismo (m)"
24,1,"espeleoterapia"
25,1,"perla (f) de caverna"
25,2,"pisolita (f)"
26,1,"arte rupestre"
27,1,"troglóxeno (adj)"
28,1,"troglófico (adj)"
29,1,"espeleogénesis"
30,1,"espeleología (f)"
32,1,"habitante de las cuevas"
32,2,"troglodita"
33,1,"troglobita"
33,2,"troglobionte"
34,1,"levantamiento (m) topográfico"
34,2,"topografía (f)"
35,1,"levantar (una topografía)"
35,2,"topografiar"
36,1,"pintura (f) rupestre"
36,2,"pictografía (f)"
37,1,"sistema (m)"
39,1,"plano (m)"
39,2,"mapa (m)"
40,1,"excursión (f)"
40,2,"salida (f)"
41,1,"conservación / protección de las cuevas"
42,1,"as de guia (m)"
43,1,"depresión (f)"
44,1,"infiltración (f)"
44,2,"percolación (f)"
45,1,"arnés (m)"
46,1,"vivac (m)"
47,1,"seguro"
47,2,"aseguramiento"
48,1,"cuerda de seguridad (m)"
49,1,"espeleotema coralinoidea"
49,2,"espeleotema botroidal"
50,1,"brecha (f)"
52,1,"equipo (m) de buceo"
53,1,"neopreno (m)"
54,1,"sumidero (m)"
54,2,"captación (f)"
55,1,"rumbo (m)"
56,1,"nudo helicoidal"
56,2,"nudo de ascenso"
57,1,"espeleotema"
58,1,"cueva (f) concrecionada"
58,2,"cueva con espeleotemas"
59,1,"colada"
60,1,"tocineta (f)"
60,2,"cortinaje (m)"
63,1,"colada estalagmítica (f)"
64,1,"marmita (f)"
66,1,"polea (f)"
67,1,"nudo (m)"
68,1,"winche (m)"
69,1,"murciélago (m)"
70,1,"denudación (f)"
70,2,"afloramiento (m)"
71,1,"rampa (f)"
71,2,"pendiente (f)"
72,1,"dolina (f)"
73,1,"dolomita (f)"
74,1,"caliza dolomítica (f)"
75,1,"ascendedor dressler"
76,1,"escalera de electrón (f)"
77,1,"descenso en rappel (m)"
78,1,"pico (de acetileno)"
79,1,"destapapico (m)"
80,1,"tufa (f)"
81,1,"técnica (f) alpina"
82,1,"nudo simple"
82,2,"lazo"
83,1,"empotrador (m)"
84,1,"derrumbe (m)"
85,1,"rappel (m)"
85,2,"descenso (m)"
87,1,"descensor en ocho (m)"
88,1,"descensor (m)"
88,2,"descendedor (m)"
89,1,"erosión (f)"
90,1,"nivel de erosión (m)"
91,1,"marmita"
91,2,"bache"
92,1,"cortinaje de borde dentado (m)"
93,1,"karst cubierto"
93,2,"karst enterrado"
94,1,"lámpara frontal (f)"
95,1,"meseta (f)"
96,1,"agarre (m)"
97,1,"peldaño (m) (de escalera)"
98,1,"subterráneo (m)"
98,2,"hipogeo (m)"
99,1,"galería (f)"
100,1,"resurgencia (f)"
100,2,"surgencia (f)"
101,1,"nivel freático (m)"
102,1,"estalactita (f)"
103,1,"yeso (m)"
104,1,"flor (f) de yeso"
105,1,"cavidad esférica (f)"
106,1,"antodita (f)"
106,2,"helictita (f)"
107,1,"zona vadosa (f)"
108,1,"guano (m)"
109,1,"escalera de cuerda (f)"
111,1,"nudo de pescador (m)"
112,1,"travesía (v.)"
113,1,"fisura (f)"
113,2,"grieta (f)"
114,1,"cueva por diaclasa (f)"
115,1,"leche de luna (f)"
119,1,"movimiento de gusano"
119,2,"jumareo"
120,1,"cavidad hidrotermal"
121,1,"ascendedor hiebler"
121,2,"bloqueador hiebler"
122,1,"hipotermia (f)"
123,1,"histoplasmosis (f)"
124,1,"perfil (m)"
125,1,"bucle"
125,2,"gaza"
126,1,"cueva turística (f)"
127,1,"surgencia (f) temporal"
127,2,"fuente (f) intermitente"
128,1,"rumbo (m)"
130,1,"cueva (f) de hielo (m)"
131,1,"estalactita de hielo"
132,1,"libreta de campo"
133,1,"jumar (m)"
133,2,"puño (m)"
134,1,"calcita (f)"
135,1,"lámina de calcita (f)"
136,1,"acanaladura de erosión"
137,1,"ascendedor gibbs (m)"
137,2,"bloqueador gibbs"
138,1,"zona de capilaridad (f)"
139,1,"mosquetón (m)"
140,1,"carburera (f)"
140,2,"lámpara (f) de carburo"
141,1,"lapiáz (m)"
142,1,"karst (m)"
142,2,"carso (m)"
143,1,"cueva kárstica"
144,1,"meseta kárstica"
145,1,"manantial kárstico (m)"
145,2,"surgencia (f)"
146,1,"fenómeno kárstico (m)"
147,1,"karstificación (m)"
148,1,"nivel de base kárstico (m)"
150,1,"grupo (m)"
151,1,"espeleotema (f)"
151,2,"depósito (m) secundario"
152,1,"sección (f)"
153,1,"corrosión por mezcla"
154,1,"corte (m) desplegado"
155,1,"anclaje (m)"
155,2,"amarre (m)"
156,1,"relleno (m)"
156,2,"colmatación (f)"
156,3,"tapón (m)"
157,1,"nicho (m)"
157,2,"gruta (f)"
157,3,"oquedad (f)"
158,1,"puente (m) natural"
158,2,"puente rocoso"
159,1,"brújula (f)"
161,1,"corrosión (f)"
162,1,"drisa (f)"
163,1,"cuerda (f)"
165,1,"equipar (v)"
165,2,"instalar (v)"
166,1,"cristal (m)"
167,1,"peñón (m)"
167,2,"mogote (m)"
167,3,"morro (m)"
