0,1,"French: è = e-grave"
0,2,"ê = e-circumflex"
1,1,"grotte (f) littorale"
2,1,"argile (f)"
3,1,"puits (m)"
3,2,"aven (m)"
3,3,"gouffre (m)"
3,4,"cheminée (f)"
5,1,"plan (m)"
6,1,"faux-plancher (m)"
7,1,"pseudokarst (m)"
8,1,"stalagmite (f)"
9,1,"alpinist(e) (m)"
10,1,"alpinisme (m)"
11,1,"technique (f) alpine"
12,1,"aragonite (f)"
13,1,"fouille (f) archéologique"
14,1,"minéral (m)"
15,1,"vallée (f) sèche"
16,1,"traversée (f)"
18,1,"baryte (f)"
19,1,"caverne (f)"
19,2,"grotte (f)"
20,1,"topographie (f)"
21,1,"spéléologue (m.& f)"
22,1,"matériel (m) de spéléo"
23,1,"spéléologie (f)"
24,1,"spéléothérapie (f)"
25,1,"perle (f) de grotte"
25,2,"pisolithe (f)"
26,1,"art pariétal (m+adj)"
27,1,"trogloxéne (adj)"
28,1,"troglophile (adj)"
29,1,"spéléogenèse (f)"
30,1,"spéléologie (f)"
32,1,"troglodyte (m)"
33,1,"troglodyte (m)"
34,1,"topographie (f)"
35,1,"lever (une topo) (v.tr)"
35,2,"topographier (v.tr)"
36,1,"dessin rupestre (m+adj)"
37,1,"réseau (m)"
37,2,"systéme (m)"
39,1,"plan (m)"
39,2,"topographie (f)"
40,1,"excursion(f)"
41,1,"protection (f) des cavernes"
42,1,"noeud (m) de chaise"
43,1,"dépression (f)"
44,1,"infiltration (f)"
45,1,"cuissard (m)"
45,2,"harnais (m)"
46,1,"bivouac (m)"
47,1,"assurance (f)"
48,1,"corde d'assurance (f)"
49,1,"calcaire pisolithique (m+adj)"
50,1,"brèche"
52,1,"équipement de plongée (m)"
53,1,"combinaison de plongée (f)"
53,2,"néoprène (m)"
54,1,"perte (f) de rivière"
55,1,"direction (f)"
56,1,"noeud (m) machard"
57,1,"concrétion (f)"
58,1,"grotte (f) concrétionnée"
59,1,"couche (de) calcaire (f)"
60,1,"draperie (f) de stalactite"
63,1,"couche stalagmitique (f)"
64,1,"marmite (f)"
66,1,"poulie (f)"
67,1,"noeud (m)"
68,1,"treuil (m)"
69,1,"chauve-souris (f)"
70,1,"dénudation (f)"
71,1,"pente (f)"
72,1,"doline (f)"
73,1,"dolomite (f)"
74,1,"calcaire dolomitique (m+adj)"
75,1,"bloqueur Dressler (m)"
76,1,"échelle metallique (f+adj)"
77,1,"descente en rappel (f)"
77,2,"rappel (v)"
78,1,"bec (á acétylène) (m)"
79,1,"débouche-bec (m)"
80,1,"travertin (m)"
80,2,"tuf calcaire (m)"
81,1,"technique (f) alpine"
82,1,"noeud (m) simple"
83,1,"coinceur (m)"
84,1,"éboulis (m)"
85,1,"descente (f)"
85,2,"rappel (m)"
87,1,"descendeur (m) en 8"
88,1,"descendeur (m)"
89,1,"érosion (f)"
90,1,"niveau (m) d' érosion"
91,1,"poche (f) d'erosion"
92,1,"bord (m) de draperie"
93,1,"karst (m) couvert"
94,1,"lampe (f) frontale"
95,1,"plateau (m)"
96,1,"prise (f)"
97,1,"barreau (m)"
97,2,"échelon (m)"
98,1,"souterrain (m/adj)"
99,1,"galerie (f)"
99,2,"passage (m)"
100,1,"bouche (f) de résurgence"
101,1,"zone (f) noyée"
102,1,"stalactite (f)"
103,1,"gypse (m)"
104,1,"fleur (f) de gypse"
105,1,"cavité sphérique (f + adj)"
106,1,"excentrique (f & adj)"
107,1,"zone (f) amphibie"
107,2,"zone (f) vadose"
108,1,"guano (m)"
109,1,"échelle de corde (f)"
111,1,"noeud (m) de pêcheur"
112,1,"traverser (v.tr)"
112,2,"progresser (v. intr.) en verrou"
113,1,"fissure (f)"
114,1,"grotte (f) à diaclase"
115,1,"mondmilch (m)"
119,1,"méthode (f) 'Ded'"
120,1,"grotte (f) hydrothermal"
121,1,"bloqueur Hiebler (m)"
122,1,"hypothermie (f)"
123,1,"histoplasmoses (f)"
124,1,"coupe (f)"
125,1,"boucle (f)"
125,2,"noeud (m) de boucle"
126,1,"grotte (f) aménagée"
127,1,"source (f) intermittente"
127,2,"source (f) temporaire"
128,1,"direction (f)"
130,1,"grotte (f) glacée"
131,1,"glaçon (m)"
132,1,"carnet (m)"
133,1,"bloqueur Jumar (m)"
134,1,"calcite (f)"
135,1,"feuille (f) de calcite"
136,1,"cannelure (f)"
136,2,"vague d'érision"
137,1,"Gibbs (m)"
137,2,"bloqueur (m)"
138,1,"zone (f) capillaire"
139,1,"mousqueton (m)"
140,1,"carbure (lampe (f) à-)"
141,1,"lapiaz (m)"
142,1,"karst (m)"
143,1,"grotte (f) karstique"
144,1,"plateau (m) karstique"
145,1,"exsurgence"
145,2,"source (f) karstique"
146,1,"phénomène (m) karstique"
147,1,"karstification (f)"
148,1,"surface (f) d'eau karstique"
150,1,"groupe (m)"
151,1,"formation (f)"
152,1,"profil (en travers) (f)"
153,1,"solution (f) de mélange"
154,1,"coupe développée (f+adj)"
155,1,"amarrage (m)"
156,1,"bouchon (m)"
157,1,"abri (m)"
157,2,"creux de rocher (m)"
157,3,"niche (f)"
157,4,"niche (f) de roc"
158,1,"pont (m) de roche"
159,1,"compas (m)"
161,1,"corrosion (f)"
